"","country","year","per_capita","m_xpense","gdp_share","r_average","per_capita_growth","m_xpense_growth","gdp_share_growth","r_average_growth"
"65","USA",2004,1588,464676,0.0378557870125215,439949.5,10.8938547486034,11.9099857185175,4.94279159994293,13.9849703928917
"66","USA",2005,1706,503353,0.0384423806868952,484014.5,7.43073047858942,8.32343396258899,1.54954822146404,10.0159222819892
"67","USA",2006,1772,527660,0.0380819723006084,515506.5,3.86869871043376,4.82901661458261,-0.937528789442748,6.50641664660873
"68","USA",2007,1853,556961,0.038470533790131,542310.5,4.57110609480813,5.55300761854224,1.02032921628996,5.19954646546649
"69","USA",2008,2047,621131,0.042200413082766,589046,10.4695089044792,11.5214530281294,9.69541861046884,8.61784899978887
"70","USA",2009,2184,668567,0.0463680498241866,644849,6.69272105520274,7.63703630957077,9.8758197775145,9.47345368612978
"71","USA",2010,2262,698180,0.046656063724573,683373.5,3.57142857142857,4.42932421133559,0.621147323379796,5.97418930633373
"72","USA",2011,2287,711338,0.0458398365758253,704759,1.105216622458,1.88461428284969,-1.74945566253965,3.12940141811176
"73","USA",2012,2185,684780,0.0423873279976231,698059,-4.45999125491911,-3.73352752137521,-7.53167732718975,-0.950679594017246
"74","USA",2013,2027,639704,0.0383251355480334,662242,-7.23112128146453,-6.58255206051579,-9.58350677310312,-5.13094165392897
"75","USA",2014,1920,609914,0.034997016227134,624809,-5.27873704982733,-4.65684128909621,-8.68390750171848,-5.65246541294572
"76","USA",2015,1863,596105,0.0328963361790659,603009.5,-2.96875,-2.26408969133353,-6.00245470766547,-3.48898623419317
"77","USA",2016,1863,600106,0.0322213451636286,598105.5,0,0.671190478187568,-2.0518729251889,-0.813254185879327
"78","USA",2017,1879,609758,0.0314922157590148,604932,0.858829844337091,1.60838251908829,-2.26287698701299,1.14135382470149
"79","Japan",1992,287,35999,0.00948312440331709,NA,NA,NA,NA,NA
"80","Japan",1993,329,41354,0.00950663824755226,38676.5,14.6341463414634,14.8754132059224,0.247954611108437,NA
"81","Japan",1994,359,45286,0.00922871800066077,43320,9.11854103343465,9.50814915123084,-2.9234334961999,12.0059984745259
"82","Japan",1995,395,49962,0.00916876617063548,47624,10.0278551532033,10.3254869054454,-0.649622515510764,9.93536472760849
"83","Japan",1996,348,44047,0.00911247075685009,47004.5,-11.8987341772152,-11.838997638205,-0.613991160181252,-1.30081471526961
"84","Japan",1997,320,40635,0.00920437898126436,42341,-8.04597701149425,-7.74627102867392,1.00859829201846,-9.9213905051644
"85","Japan",1998,298,37849,0.00938594774652954,39242,-6.875,-6.85615848406546,1.97263460831812,-7.31914692614723
"86","Japan",1999,339,43123,0.0094524833744442,40486,13.758389261745,13.934317947634,0.708885556487946,3.17007288109678
"87","Japan",2000,357,45510,0.00931136155654198,44316.5,5.30973451327434,5.53532917468636,-1.49296023396088,9.4612952625599
"88","Japan",2001,319,40758,0.00947079855833118,43134,-10.6442577030812,-10.4416611733685,1.71228451200228,-2.66830638701161
"89","Japan",2002,308,39334,0.00955834671547417,40046,-3.44827586206897,-3.4937926296678,0.924401005931834,-7.1590856400983
"90","Japan",2003,332,42486,0.0095567390575915,40910,7.79220779220779,8.01342350129659,-0.0168194137598082,2.15751885331868
"91","Japan",2004,354,45340,0.00941607638434338,43913,6.62650602409639,6.71750694346373,-1.47186893353951,7.34050354436568
"92","Japan",2005,345,44301,0.0093158165258881,44820.5,-2.54237288135593,-2.29157476841641,-1.06477320661913,2.0665862045408
"93","Japan",2006,324,41553,0.00917197037578028,42927,-6.08695652173913,-6.20302024784994,-1.54410673190137,-4.2246293548711
"94","Japan",2007,315,40530,0.00897626654117959,41041.5,-2.77777777777778,-2.46191610714028,-2.13371638353162,-4.39234048500944
"95","Japan",2008,361,46361,0.00920247843496941,43445.5,14.6031746031746,14.3868739205527,2.52011114812655,5.85748571567803
"96","Japan",2009,400,51465,0.00983777356941048,48913,10.803324099723,11.009253467354,6.90352212102941,12.5847325960111
"97","Japan",2010,425,54655,0.00958851325032142,53060,6.25,6.19838725347323,-2.5337066088216,8.47831864739435
"98","Japan",2011,473,60762,0.00986806292524448,57708.5,11.2941176470588,11.1737261000823,2.9154642396065,8.76083678854127
"99","Japan",2012,467,60012,0.0096742708258411,60387,-1.26849894291755,-1.23432408413153,-1.96383120853044,4.64143063846747
